,0,1
Iron Man,94,91
The Incredible Hulk,67,70
Iron Man 2,72,71
Thor,77,76
Captain America: The First Avenger,79,75
The Avengers,91,91
Iron Man 3,79,78
Thor: The Dark World,66,75
Captain America: The Winter Soldier,90,92
Guardians of the Galaxy,92,92
Avengers: Age of Ultron,76,83
Ant-Man,83,85
Captain America: Civil War,90,89
Doctor Strange,89,86
Guardians of the Galaxy Vol. 2,85,87
Spider-Man: Homecoming,92,87
Thor: Ragnarok,93,87
Black Panther,96,79
Avengers: Infinity War,85,91
Ant-Man and the Wasp,87,81
Captain Marvel,79,45
Avengers: End Game,94,90
Spider-Man: Far From Home,90,95
Black Widow,79,91
Shang-Chi and the Legend of the Ten Rings,91,98
Eternals,47,78
Spider-Man: No Way Home,93,98
